dataset,algorithm,seed,is_deterministic,runtime_seconds,params,warnings,rand_index_value,rand_index_status,rand_index_notes,adjusted_rand_index_value,adjusted_rand_index_status,adjusted_rand_index_notes,compactness_value,compactness_status,compactness_notes,dunn_index_value,dunn_index_status,dunn_index_notes,silhouette_value,silhouette_status,silhouette_notes
overlap3d_w0.1,spectral,0,False,2.1333460999885574,"{""n_clusters"": 5, ""seed"": 0}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,spectral,1,False,0.039007200044579804,"{""n_clusters"": 5, ""seed"": 1}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,spectral,2,False,0.03949379996629432,"{""n_clusters"": 5, ""seed"": 2}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,spectral,3,False,0.03778579999925569,"{""n_clusters"": 5, ""seed"": 3}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,spectral,4,False,0.03688900003908202,"{""n_clusters"": 5, ""seed"": 4}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,spectral,5,False,0.038818600005470216,"{""n_clusters"": 5, ""seed"": 5}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,spectral,6,False,0.039424799964763224,"{""n_clusters"": 5, ""seed"": 6}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,spectral,7,False,0.03699170000618324,"{""n_clusters"": 5, ""seed"": 7}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,spectral,8,False,0.03747160005150363,"{""n_clusters"": 5, ""seed"": 8}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,spectral,9,False,0.03772209997987375,"{""n_clusters"": 5, ""seed"": 9}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,gmm,0,False,0.011461600020993501,"{""n_clusters"": 5, ""seed"": 0}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,gmm,1,False,0.010875099978875369,"{""n_clusters"": 5, ""seed"": 1}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,gmm,2,False,0.010615799983497709,"{""n_clusters"": 5, ""seed"": 2}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,gmm,3,False,0.009678100002929568,"{""n_clusters"": 5, ""seed"": 3}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,gmm,4,False,0.010990799986757338,"{""n_clusters"": 5, ""seed"": 4}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
overlap3d_w0.1,gmm,5,False,0.010887200012803078,"{""n_clusters"": 5, ""seed"": 5}",,1.0,ok,,1.0,ok,,0.499827171835587,ok,,1.9524709687151407,ok,,0.9624055650133904,ok,
